% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
177	2	2	1	0	28	749	0	1	1
177	2	3	2	0	28	749	0	1	1
177	2	1	3	0	28	749	0	1	1
177	3	2	1	0	28	749	0	1	2
177	3	3	2	0	28	749	0	1	2
177	3	1	3	0	28	749	0	1	2
178	1	1	3	0	28	749	0	1	0
178	1	2	1	0	28	749	0	1	0
178	1	3	2	0	28	749	0	1	0
178	2	2	1	0	28	749	0	1	1
178	2	3	2	0	28	749	0	1	1
178	2	1	3	0	28	749	0	1	1
178	3	2	1	0	28	749	0	1	2
178	3	3	2	0	28	749	0	1	2
178	3	1	3	0	28	749	0	1	2
179	1	1	3	0	28	749	0	1	0
179	1	2	1	0	28	749	0	1	0
179	1	3	2	0	28	749	0	1	0
179	2	2	1	0	28	749	0	1	1
179	2	3	2	0	28	749	0	1	1
179	2	1	3	0	28	749	0	1	1
179	3	2	1	0	28	749	0	1	2
179	3	3	2	0	28	749	0	1	2
179	3	1	3	0	28	749	0	1	2
180	1	1	3	0	28	749	0	1	0
180	1	2	1	0	28	749	0	1	0
180	1	3	2	0	28	749	0	1	0
180	2	2	1	0	28	749	0	1	1
180	2	3	2	0	28	749	0	1	1
180	2	1	3	0	28	749	0	1	1
180	3	2	1	0	28	749	0	1	2
180	3	3	2	0	28	749	0	1	2
180	3	1	3	0	28	749	0	1	2
181	1	1	3	0	28	749	0	1	0
181	1	2	1	0	28	749	0	1	0
181	1	3	2	0	28	749	0	1	0
181	2	2	1	0	28	749	0	1	1
181	2	3	2	0	28	749	0	1	1
181	2	1	3	0	28	749	0	1	1
181	3	2	1	0	28	749	0	1	2
181	3	3	2	0	28	749	0	1	2
181	3	1	3	0	28	749	0	1	2
182	1	1	3	0	28	749	0	1	0
182	1	2	1	0	28	749	0	1	0
182	1	3	2	0	28	749	0	1	0
182	2	2	1	0	28	749	0	1	1
182	2	3	2	0	28	749	0	1	1
182	2	1	3	0	28	749	0	1	1
182	3	2	1	0	28	749	0	1	2
182	3	3	2	0	28	749	0	1	2
